Date;Temperature;Humidity;Precipitation;HDD;CDD
2010-1-2;29.50;81.71;0.00;0.00;0.00
2010-1-3;29.71;78.86;0.00;0.00;0.00
2010-1-4;30.36;77.14;0.00;0.00;0.36
2010-1-5;29.07;80.00;0.00;0.00;0.00
2010-1-6;27.00;82.71;0.00;0.00;0.00
2010-1-7;28.14;81.71;0.00;0.00;0.00
2010-1-8;28.00;84.00;0.00;0.00;0.00
2010-1-9;29.21;82.00;0.00;0.00;0.00
2010-1-10;29.36;74.71;0.00;0.00;0.00
2010-1-11;29.36;77.43;0.00;0.00;0.00
2010-1-12;28.29;77.43;0.00;0.00;0.00
2010-1-13;29.14;73.71;0.00;0.00;0.00
2010-1-14;26.93;81.43;0.00;0.00;0.00
2010-1-15;24.64;82.57;0.00;0.00;0.00
2010-1-16;26.71;82.86;0.00;0.00;0.00
2010-1-17;27.07;82.43;0.00;0.00;0.00
2010-1-18;27.93;80.57;0.00;0.00;0.00
2010-1-19;29.14;80.00;0.00;0.00;0.00
2010-1-20;29.36;76.86;0.00;0.00;0.00
2010-1-21;27.33;85.83;0.00;0.00;0.00
2010-1-22;23.25;88.17;0.00;0.00;0.00
2010-1-23;26.08;87.50;0.00;0.00;0.00
2010-1-24;25.67;89.83;0.00;0.00;0.00
2010-1-25;25.75;89.83;0.00;0.00;0.00
2010-1-26;26.80;87.60;0.00;0.00;0.00
2010-1-27;27.50;81.80;0.00;0.00;0.00
2010-1-28;27.00;86.20;0.00;0.00;0.00
2010-1-29;24.20;89.40;0.00;0.00;0.00
2010-1-30;25.10;87.00;0.00;0.00;0.00
2010-1-31;29.80;80.00;0.00;0.00;0.00
2010-2-1;30.93;74.57;0.00;0.00;0.93
2010-2-2;31.29;68.71;0.00;0.00;1.29
2010-2-3;32.36;68.57;0.00;0.00;2.36
2010-2-4;31.86;72.86;0.00;0.00;1.86
2010-2-5;31.86;72.43;0.00;0.00;1.86
2010-2-6;31.50;67.29;0.00;0.00;1.50
2010-2-7;30.71;68.43;0.00;0.00;0.71
2010-2-8;29.36;70.29;0.00;0.00;0.00
2010-2-9;29.29;72.29;0.00;0.00;0.00
2010-2-10;27.43;81.00;0.00;0.00;0.00
2010-2-11;28.93;79.29;0.00;0.00;0.00
2010-2-12;30.21;77.14;0.00;0.00;0.21
2010-2-13;29.50;75.57;0.00;0.00;0.00
2010-2-14;30.00;68.86;0.00;0.00;0.00
2010-2-15;31.57;65.14;0.00;0.00;1.57
2010-2-16;30.79;67.29;0.00;0.00;0.79
